hhid,hh_members,relation,gender,dob_gc,hh_education,marital_status,no_of_marriage,main_occupation,longitude,latitude,altitude,kebele,Q401,Q406,Q301,Q302,Q304,Q306,Q307,Q308m,Qsou_inform,Qtransport,house_equipment,Qanimal,Q3098,Q3099,Q30910,Q30911,Q3098n,Q3099n,Q30910n,Q30911n,Q30912n,Q30913n,Q30914n,Q30915n
DT0100002,6.0,1.0,1.0,4/3/1973,1.0,1.0,2.0,2.0,37.75431,12.97152,2623.0,DT01,1.0,0.0,0,1,1,3,2,0,0,1,1,4,1,1,1,1,1,1,2,1,1,0,0.0,0.0
DT0100005,5.0,1.0,1.0,10/3/1973,2.0,1.0,2.0,3.0,37.75393,12.97195,2603.0,DT01,1.0,0.0,0,0,1,1,3,2,1,0,2,0,0,0,0,0,0,0,0,0,3,2,0.0,0.0
DT0100006,4.0,1.0,1.0,7/12/1967,7.0,1.0,2.0,5.0,37.75296,12.97274,2595.0,DT01,1.0,0.0,0,1,1,1,3,2,3,0,2,0,0,0,0,0,0,0,0,0,2,1,0.0,0.0
DT0100007,4.0,1.0,1.0,7/19/1968,7.0,1.0,1.0,9.0,37.75296,12.97276,2596.0,DT01,1.0,0.0,0,1,1,1,3,2,3,0,2,1,0,0,1,0,0,0,2,0,1,2,0.0,0.0
DT0100011,1.0,1.0,1.0,7/12/1982,6.0,2.0,0.0,2.0,37.75465,12.97211,2626.0,DT01,1.0,0.0,0,1,1,1,3,0,2,0,2,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0
DT0100012,4.0,1.0,1.0,5/1/1982,8.0,1.0,1.0,4.0,37.75434,12.97306,2612.0,DT01,1.0,0.0,0,1,1,1,3,4,3,0,2,1,0,0,1,0,0,0,1,0,3,1,0.0,0.0
DT0100014,6.0,1.0,0.0,2/20/1976,1.0,4.0,2.0,2.0,37.75439,12.97243,2618.0,DT01,1.0,0.0,0,1,1,3,2,0,0,0,2,1,1,0,0,0,1,0,0,0,1,1,0.0,0.0
DT0100015,5.0,1.0,1.0,2/22/1969,2.0,1.0,2.0,2.0,37.75414,12.97294,2584.0,DT01,1.0,0.0,0,1,2,1,2,0,0,0,0,2,0,0,1,1,0,0,1,1,0,0,0.0,0.0
DT0100016,6.0,1.0,1.0,2/23/1954,2.0,1.0,2.0,2.0,37.75378,12.97254,2597.0,DT01,1.0,0.0,0,1,1,4,3,0,0,0,2,1,0,0,0,1,0,0,0,1,1,1,0.0,0.0
DT0100018,2.0,1.0,0.0,2/23/1993,8.0,2.0,0.0,1.0,37.75433,12.97283,2584.0,DT01,1.0,0.0,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DT0100020,2.0,1.0,0.0,9/13/1964,1.0,3.0,2.0,3.0,37.75449,12.97282,2584.0,DT01,1.0,0.0,0,1,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DT0100021,2.0,1.0,0.0,1/23/1974,1.0,5.0,2.0,0.0,37.75493,12.97289,2610.0,DT01,1.0,0.0,0,1,1,1,3,0,0,0,2,1,0,0,1,0,0,0,1,0,1,1,0.0,0.0
DT0100022,5.0,1.0,1.0,11/16/1954,2.0,1.0,2.0,2.0,37.75488,12.97294,2605.0,DT01,1.0,0.0,0,1,1,1,2,2,0,1,0,2,1,1,0,0,1,1,0,0,0,0,0.0,0.0
DT0100024,3.0,1.0,0.0,1/24/1984,2.0,4.0,1.0,1.0,37.75441,12.97297,2604.0,DT01,1.0,0.0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DT0100025,4.0,1.0,1.0,2/22/1981,6.0,1.0,2.0,8.0,37.75399,12.97292,2601.0,DT01,1.0,0.0,0,1,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0
DT0100027,2.0,1.0,0.0,12/3/1939,1.0,4.0,3.0,0.0,37.75389000000001,12.9734,2601.0,DT01,1.0,0.0,0,1,1,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
DT0100028,3.0,1.0,0.0,1/24/1956,1.0,3.0,2.0,0.0,37.7543,12.9734,2595.0,DT01,1.0,0.0,0,1,1,1,2,0,0,0,1,3,1,0,1,1,1,0,1,1,1,0,0.0,0.0
DT0100030,4.0,1.0,0.0,2/22/1973,1.0,3.0,2.0,1.0,37.75445,12.9734,2584.0,DT01,1.0,0.0,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
DT0100031,5.0,1.0,1.0,1/23/1979,6.0,1.0,2.0,4.0,37.75458,12.97334,2604.0,DT01,1.0,0.0,0,1,1,1,3,2,1,0,2,1,0,0,1,0,0,0,1,0,2,1,0.0,0.0
DT0100033,6.0,1.0,1.0,2/23/1964,4.0,1.0,3.0,2.0,37.75283,12.97333,2594.0,DT01,1.0,0.0,0,1,1,1,3,0,0,1,2,2,1,1,0,0,1,2,0,0,2,1,0.0,1.0
DT0100034,3.0,1.0,0.0,2/22/1969,1.0,3.0,5.0,3.0,37.75491,12.97329,2602.0,DT01,1.0,0.0,0,1,1,1,3,0,0,0,1,1,0,0,0,1,0,0,0,2,0,1,0.0,0.0
DT0100035,6.0,1.0,1.0,4/23/1974,1.0,1.0,3.0,3.0,37.75483,12.97341,2611.0,DT01,1.0,0.0,0,1,1,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
DT0100036,1.0,1.0,0.0,2/23/1972,7.0,3.0,3.0,4.0,37.75469,12.97339,2698.0,DT01,1.0,0.0,0,1,1,1,3,2,2,0,2,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0
DT0100037,3.0,1.0,1.0,6/10/1944,3.0,1.0,1.0,2.0,37.75464,12.97344,2593.0,DT01,1.0,0.0,0,1,1,1,3,0,0,0,2,1,1,0,0,0,1,0,0,0,1,1,0.0,0.0
