hhid,hh_members,sex,hh_education,residence,age,altitude,Q401,Q304,Q306,Q307,Q308m,Qsou_inform,Q504,Q5231,Q5232,Q5233,Q5234,Q524,main_occupation,marital_status,Q3098n,Q3099n,Q30910n,Q30911n,food_secured
DT0100002,1,1,0,0,1,2,1,1,3,2,0,0,4,1,2,2,2,1,2,1,1,1,1,1,0
DT0100005,1,1,1,0,1,2,1,1,1,3,1,1,2,1,2,2,2,1,3,1,0,0,0,0,0
DT0100006,0,1,3,0,1,2,1,1,1,3,1,3,2,2,2,2,2,1,4,1,0,0,0,0,1
DT0100007,0,1,3,0,1,2,1,1,1,3,1,3,2,2,2,2,2,1,4,1,0,0,1,0,0
DT0100011,0,1,3,0,0,2,1,1,1,3,0,2,2,1,2,2,2,1,2,2,0,0,0,0,0
DT0100012,0,1,4,0,0,2,1,1,1,3,1,3,2,2,2,2,2,2,4,1,0,0,1,0,0
DT0100014,1,0,0,0,0,2,1,1,3,2,0,0,2,1,2,2,2,1,2,4,1,0,0,0,0
DT0100015,1,1,1,0,1,2,1,2,1,2,0,0,2,1,1,2,1,2,2,1,0,0,1,1,0
DT0100016,1,1,1,0,1,2,1,1,4,3,0,0,2,1,1,2,2,1,2,1,0,0,0,1,0
DT0100018,0,0,4,0,0,2,1,2,1,3,0,0,3,1,2,1,2,2,1,2,0,0,0,0,0
DT0100020,0,0,0,0,1,2,1,2,1,3,1,0,2,1,2,2,2,2,3,3,0,0,0,0,0
DT0100021,0,0,0,0,1,2,1,1,1,3,0,0,1,2,2,2,2,1,2,0,0,0,1,0,0
DT0100022,1,1,1,0,1,2,1,1,1,2,1,0,2,2,2,2,2,1,2,1,1,1,0,0,1
DT0100024,0,0,1,0,0,2,1,1,1,2,0,0,2,1,2,2,2,1,2,4,0,0,0,0,0
DT0100025,0,1,3,0,0,2,1,1,1,2,0,1,2,2,2,2,2,2,0,1,0,0,0,0,1
DT0100027,0,0,0,0,2,2,1,1,1,2,0,2,2,2,2,2,1,1,2,4,0,0,0,0,0
DT0100028,0,0,0,0,1,2,1,1,1,2,0,0,1,1,2,2,2,1,2,3,1,0,1,1,0
DT0100030,0,0,0,0,1,2,1,1,1,3,0,0,2,1,2,2,1,2,2,3,0,0,0,0,0
DT0100031,1,1,3,0,0,2,1,1,1,3,1,1,2,2,2,2,2,2,4,1,0,0,1,0,1
DT0100033,1,1,2,0,1,2,1,1,1,3,0,0,2,2,2,2,2,1,2,1,1,2,0,0,1
DT0100034,0,0,0,0,1,2,1,1,1,3,0,0,5,1,2,2,2,2,3,3,0,0,0,1,0
DT0100036,0,0,3,0,1,2,1,1,1,3,1,2,2,1,2,2,2,1,4,3,0,0,0,0,0
DT0100037,0,1,2,0,2,2,1,1,1,3,0,0,2,2,2,2,2,1,2,1,1,0,0,0,1
DT0100038,1,1,1,0,1,2,1,1,1,3,0,1,2,1,2,2,2,1,2,1,1,1,0,0,0
DT0100039,1,1,3,0,1,2,1,1,1,3,0,2,2,2,2,2,2,1,2,1,1,1,1,0,1
DT0100040,1,0,2,0,1,2,1,1,4,3,0,1,4,2,2,2,2,1,2,0,0,0,0,0,1
DT0100041,0,0,3,0,0,2,1,1,1,3,1,1,3,2,2,2,2,1,0,0,0,0,0,0,0
DT0100042,0,0,3,0,0,2,1,1,1,3,0,0,5,2,2,2,2,2,1,2,1,0,0,0,1
DT0100044,0,1,2,0,0,2,1,2,1,3,0,0,2,2,2,2,2,1,2,1,1,1,1,1,1
DT0100046,0,0,0,0,2,2,1,1,1,3,0,1,1,2,2,2,2,1,2,3,0,0,0,0,0
DT0100047,0,1,3,0,2,2,1,1,1,3,1,1,2,2,2,2,2,1,4,1,0,0,0,0,1
DT0100048,0,0,4,0,1,2,1,1,1,3,1,3,2,2,2,2,2,2,4,1,0,0,0,0,1
DT0100050,0,0,0,0,1,2,1,1,1,3,1,1,1,2,2,2,2,1,2,4,0,0,0,0,1
DT0100051,1,1,4,0,1,2,1,1,1,3,1,1,2,2,2,2,2,2,4,1,1,1,0,0,1
DT0100052,0,0,0,0,2,2,1,1,1,2,0,0,2,1,1,2,2,2,2,4,0,0,1,0,0
DT0100054,0,1,4,0,1,2,1,1,1,3,1,3,2,2,2,2,2,1,4,1,0,0,0,1,1
