hhid,Q4011,Q4012,Q4013,Q4014,Q4015,Q4016,Q4060,Q401,Q406
DT0100004,0,0,0,1,0,0,7,2,2
DT0400417,0,1,0,0,0,0,5,1,2
DT0401151,0,0,0,1,0,0,7,2,2
DT0300692,0,0,0,1,0,0,7,2,2
DT1100044,0,1,0,0,0,0,7,1,2
DT0601219,0,0,0,0,0,1,7,2,2
DT1000979,0,0,1,1,0,0,5,1,2
DT1100112,1,0,0,0,0,0,7,1,2
DT0700143,0,0,0,1,0,1,7,2,2
DT0200259,1,0,0,0,0,0,4,1,2
DT0800428,0,0,0,0,0,0,7,2,2
DT0800987,0,0,0,0,0,1,7,2,2
DT1200063,0,0,0,1,0,0,7,2,2
DT1300491,0,0,1,0,0,0,7,1,2
DT0100829,1,0,0,0,0,0,3,1,1
DT0801346,0,0,0,0,0,1,7,2,2
DT1301011,0,0,0,1,0,0,7,2,2
DT1000758,0,0,1,0,0,0,4,1,2
DT0300428,0,1,0,0,0,0,4,1,2
DT0801615,0,0,0,0,0,1,6,2,2
DT0301204,0,0,0,0,0,1,7,2,2
DT0600051,0,1,0,0,0,0,7,1,2
DT0600854,0,0,1,0,0,0,7,1,2
DT1300906,0,0,0,1,0,0,7,2,2
DT1200928,0,0,0,0,0,1,7,2,2
DT0301111,1,0,0,0,0,0,5,1,2
DT0800480,0,0,0,0,0,1,6,2,2
DT1301173,0,0,0,1,0,0,7,2,2
DT0900531,1,0,0,0,0,0,7,1,2
DT0601039,0,1,0,0,0,0,7,1,2
DT0100223,1,0,0,0,0,0,4,1,2
DT0800452,0,0,0,0,0,1,7,2,2
DT0300354,0,0,0,1,0,0,7,2,2
DT1200657,0,0,0,1,0,0,7,2,2
DT1100609,1,0,0,1,0,0,4,1,2
DT0401179,0,0,0,1,0,0,7,2,2
DT0101548,1,0,0,0,0,0,3,1,1
DT1200852,0,0,0,0,0,1,7,2,2
DT0500515,0,0,1,0,0,0,4,1,2
DT0900354,1,0,0,0,0,0,7,1,2
DT0400092,0,1,0,0,0,0,7,1,2
DT1001047,0,0,0,1,0,0,5,2,2
