hhid,Q301,Q302,Q304,Q306,Q307,Q308m,Qsou_inform,Q3098,Q3099,Q30910,Q30911,Q3098n,Q3099n,Q30910n,Q30911n,Q30912n,Q30913n,Q30914n,Q30915n
 DT0800198,1,1,1,3,2,0,0,1,0,0,1,1,0,0,1,1,0,0.0,0.0
DT0501262,2,1,1,4,2,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0.0
DT1201722,2,1,1,1,3,0,1,1,1,0,0,1,2,0,0,1,1,0.0,0.0
DT1300222,1,1,1,3,2,0,0,1,0,0,1,1,0,0,1,1,0,0.0,0.0
DT1300872,1,1,1,3,2,0,0,1,0,0,0,1,0,0,0,1,0,0.0,0.0
D00701135,2,1,1,3,2,0,0,1,0,0,1,1,0,0,1,0,0,0.0,0.0
DT0700522,1,1,1,3,2,0,0,1,0,0,1,1,0,0,1,1,0,0.0,0.0
DT0020005,2,1,2,1,3,1,2,0,0,0,0,0,0,0,0,1,1,0.0,0.0
DT0100002,2,1,1,3,2,0,0,1,1,1,1,1,1,1,1,1,0,0.0,0.0
DT0100005,2,2,1,1,3,1,1,0,0,0,0,0,0,0,0,1,1,0.0,0.0
DT0100006,2,1,1,1,3,1,3,0,0,0,0,0,0,0,0,1,1,0.0,0.0
DT0100007,2,1,1,1,3,1,3,0,0,1,0,0,0,1,0,1,1,0.0,0.0
DT0100011,2,1,1,1,3,0,2,0,0,0,0,0,0,0,0,1,1,0.0,0.0
DT0100012,2,1,1,1,3,1,3,0,0,1,0,0,0,1,0,1,1,0.0,0.0
DT0100014,2,1,1,3,2,0,0,1,0,0,0,1,0,0,0,1,1,0.0,0.0
DT0100015,2,1,2,1,2,0,0,0,0,1,1,0,0,1,1,0,0,0.0,0.0
DT0100016,2,1,1,4,3,0,0,0,0,0,1,0,0,0,1,1,1,0.0,0.0
DT0100018,2,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DT0100020,2,1,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DT0100021,2,1,1,1,3,0,0,0,0,1,0,0,0,1,0,1,1,0.0,0.0
DT0100022,2,1,1,1,2,1,0,1,1,0,0,1,1,0,0,0,0,0.0,0.0
DT0100024,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DT0100025,2,1,1,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0.0,0.0
DT0100027,2,1,1,1,2,0,2,0,0,0,0,0,0,0,0,1,0,0.0,0.0
DT0100028,2,1,1,1,2,0,0,1,0,1,1,1,0,1,1,1,0,0.0,0.0
DT0100030,2,1,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
DT0100031,2,1,1,1,3,1,1,0,0,1,0,0,0,1,0,1,1,0.0,0.0
DT0100033,2,1,1,1,3,0,0,1,1,0,0,1,2,0,0,1,1,0.0,1.0
DT0100034,2,1,1,1,3,0,0,0,0,0,1,0,0,0,1,0,1,0.0,0.0
DT0100035,2,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0
DT0100036,2,1,1,1,3,1,2,0,0,0,0,0,0,0,0,1,1,0.0,0.0
DT0100037,2,1,1,1,3,0,0,1,0,0,0,1,0,0,0,1,1,0.0,0.0
