hhid,Q401,Q406,Q301,Q302,Q304,Q306,Q307,Q308m,Qsou_inform,Q3098,Q3099,Q30910,Q30911,Q3098n,Q3099n,Q30910n,Q30911n,Q30912n,Q30913n,Q30914n,Q30915n
DT0300692,2.0,2.0,2,1,1,3,2,0,0,0,0,1,1,0,0,1,1,1,0,0.0,0.0
DT1100044,1.0,2.0,2,1,1,1,3,1,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0
DT0601219,2.0,2.0,2,1,1,3,2,0,0,1,0,0,1,1,0,0,1,1,0,0.0,0.0
DT1000979,1.0,2.0,2,1,1,3,2,0,0,1,1,0,0,1,2,0,0,0,0,0.0,0.0
DT1100112,1.0,2.0,2,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0
DT0700143,2.0,2.0,1,1,1,3,1,0,0,1,0,0,1,1,0,0,1,1,0,0.0,0.0
DT0200259,1.0,2.0,2,1,2,1,3,0,1,0,0,0,0,0,0,0,0,1,1,0.0,0.0
DT0800428,2.0,2.0,2,1,1,3,2,0,0,1,1,1,1,1,1,1,1,1,0,0.0,0.0
DT0800987,2.0,2.0,2,1,1,3,1,0,1,1,1,1,1,1,2,1,1,1,0,0.0,0.0
DT1200063,2.0,2.0,1,1,1,4,2,1,0,0,0,1,1,0,0,1,1,1,0,0.0,0.0
DT1300491,1.0,2.0,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
DT0100829,1.0,1.0,2,2,1,1,3,1,3,0,0,1,0,0,0,1,0,1,1,0.0,0.0
DT0801346,2.0,2.0,1,1,1,3,1,0,0,1,0,1,1,1,0,1,1,1,0,0.0,0.0
DT1301011,2.0,2.0,1,1,1,3,2,0,0,1,0,1,1,1,0,1,1,0,0,0.0,0.0
DT1000758,1.0,2.0,2,1,1,4,3,0,2,1,1,1,1,1,2,1,1,1,1,0.0,1.0
DT0801615,2.0,2.0,1,1,1,4,2,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0
DT0301204,2.0,2.0,2,1,1,3,2,0,1,1,1,1,1,1,1,1,1,1,0,0.0,0.0
DT0600051,1.0,2.0,2,1,1,3,2,1,0,1,0,0,1,1,0,0,1,1,0,0.0,0.0
DT0600854,1.0,2.0,1,1,1,1,2,0,0,1,0,0,1,1,0,0,1,0,0,0.0,0.0
DT1300906,2.0,2.0,1,1,1,4,2,0,0,1,0,0,1,1,0,0,1,1,0,0.0,0.0
DT1200928,2.0,2.0,1,1,1,4,2,1,0,1,0,0,0,1,0,0,0,0,0,0.0,0.0
DT0301111,1.0,2.0,2,1,1,3,2,0,0,0,0,1,1,0,0,1,1,1,0,0.0,0.0
DT0800480,2.0,2.0,1,1,1,3,2,0,0,1,0,1,1,1,0,1,1,1,0,0.0,0.0
DT1301173,2.0,2.0,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
DT0900531,1.0,2.0,2,1,3,1,3,1,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0
DT0601039,1.0,2.0,2,1,1,3,2,0,0,1,1,1,0,1,2,1,0,1,0,0.0,0.0
DT0100223,1.0,2.0,2,1,1,1,3,1,2,0,0,0,0,0,0,0,0,1,1,0.0,0.0
DT0800452,2.0,2.0,1,1,1,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0.0
DT0300354,2.0,2.0,2,1,1,3,2,0,1,1,1,1,1,1,1,1,1,1,0,0.0,0.0
DT1200657,2.0,2.0,1,1,1,3,2,0,0,1,0,0,1,1,0,0,1,0,0,0.0,0.0
DT1100609,1.0,2.0,2,1,1,3,3,0,1,0,0,0,0,0,0,0,0,1,1,0.0,0.0
DT0401179,2.0,2.0,2,1,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DT0101548,1.0,1.0,2,1,2,1,3,1,1,0,0,0,0,0,0,0,0,1,1,0.0,0.0
DT1200852,2.0,2.0,1,1,1,3,2,0,0,1,1,0,1,1,2,0,1,0,0,0.0,0.0
DT0500515,1.0,2.0,2,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,0,0.0,0.0
DT0900354,1.0,2.0,2,1,2,1,3,1,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0
DT0400092,1.0,2.0,2,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DT1001047,2.0,2.0,2,1,1,3,2,0,0,1,1,1,0,1,1,1,0,1,0,0.0,0.0
DT0801049,2.0,2.0,1,1,1,3,2,0,0,1,0,1,1,1,0,1,1,1,0,0.0,0.0
DT1001070,1.0,2.0,2,1,1,3,2,0,0,1,1,1,0,1,1,1,0,1,0,0.0,0.0
DT0200983,1.0,2.0,2,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DT0401002,1.0,2.0,2,1,1,3,2,0,2,1,1,1,0,1,1,1,0,0,0,0.0,0.0
DT1101352,1.0,1.0,2,1,1,1,3,1,1,0,0,1,0,0,0,1,0,1,1,0.0,0.0
DT0102015,1.0,2.0,2,1,1,1,3,0,0,1,1,0,0,1,1,0,0,1,1,0.0,1.0
DT0800474,2.0,2.0,1,1,1,3,2,0,0,1,1,1,1,1,1,1,1,1,0,0.0,0.0
DT0501295,1.0,2.0,2,1,1,4,2,0,0,1,0,0,1,1,0,0,1,1,0,0.0,0.0
DT0300707,2.0,2.0,1,1,1,3,2,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0.0
DT0601136,1.0,2.0,2,1,1,3,2,0,0,1,0,1,1,1,0,1,1,1,0,0.0,0.0
DT0802054,2.0,2.0,1,1,1,3,2,0,0,1,0,0,1,1,0,0,1,0,0,0.0,0.0
DT0800479,2.0,2.0,1,1,1,3,2,0,0,1,0,0,1,1,0,0,1,1,0,0.0,0.0
DT1301052,2.0,2.0,2,1,1,3,2,0,0,1,0,0,1,1,0,0,1,1,0,0.0,0.0
DT0800482,2.0,2.0,1,1,1,3,2,0,0,1,0,0,1,1,0,0,1,1,0,0.0,0.0
DT0301264,2.0,2.0,2,1,1,3,2,0,0,1,1,1,1,1,1,1,1,1,0,0.0,0.0
DT0800484,2.0,2.0,2,1,1,3,2,0,0,1,0,0,1,1,0,0,1,1,0,0.0,0.0
DT1202008,2.0,2.0,2,1,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DT0800486,2.0,2.0,1,1,1,3,1,0,0,1,0,0,1,1,0,0,1,0,0,0.0,0.0
DT0800487,2.0,2.0,1,1,1,3,2,0,1,1,0,0,1,1,0,0,1,1,0,0.0,0.0
DT1301004,2.0,2.0,2,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
dt1100746,1.0,2.0,2,1,1,3,3,1,1,0,0,1,0,0,0,1,0,1,1,0.0,0.0
DT0401186,1.0,2.0,2,1,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DT0500266,1.0,2.0,2,1,1,3,2,0,0,1,1,1,0,1,1,1,0,1,0,0.0,0.0
DT1100660,1.0,2.0,2,1,1,1,3,0,1,0,1,0,0,0,2,0,0,1,0,0.0,0.0
DT1000415,1.0,2.0,2,1,1,3,2,0,0,1,1,0,1,1,1,0,1,0,0,0.0,0.0
dt1100387,1.0,2.0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0.0,0.0
DT0800495,2.0,2.0,1,1,1,3,2,0,0,1,0,1,1,1,0,1,1,1,0,0.0,0.0
DT0500898,1.0,2.0,2,1,1,4,2,0,0,1,1,1,1,1,1,1,1,1,0,0.0,0.0
DT0800497,2.0,2.0,2,1,1,3,2,0,0,1,1,1,1,1,2,1,1,1,0,0.0,0.0
DT0800498,2.0,2.0,1,1,1,3,2,0,0,1,0,0,0,1,0,0,0,1,0,0.0,0.0
DT1100071,1.0,2.0,2,1,1,1,3,1,2,0,0,1,0,0,0,1,0,1,1,0.0,0.0
DT0201252,1.0,2.0,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
DT0201091,1.0,2.0,2,1,1,1,3,1,3,0,0,0,0,0,0,0,0,1,1,0.0,0.0
DT0600062,1.0,2.0,2,1,1,3,2,0,0,0,0,1,1,0,0,1,1,1,0,0.0,0.0
DT0800638,2.0,2.0,1,1,1,3,2,0,0,1,0,0,1,1,0,0,1,1,0,0.0,0.0
DT0200246,1.0,1.0,2,2,1,1,4,1,3,0,0,0,0,0,0,0,0,1,1,1.0,0.0
DT1200540,2.0,2.0,2,1,1,3,2,0,0,0,1,1,1,0,2,1,1,1,0,0.0,0.0
DT0800507,2.0,2.0,2,1,1,3,2,0,0,1,0,1,1,1,0,1,1,0,0,0.0,0.0
DT0600664,2.0,2.0,2,1,1,3,2,0,0,1,0,1,0,1,0,1,0,0,0,0.0,0.0
DT0102512,1.0,2.0,2,1,2,1,3,0,1,0,0,0,0,0,0,0,0,1,1,0.0,0.0
DT0801429,2.0,2.0,2,1,1,3,2,0,0,1,1,1,1,1,1,1,1,1,0,0.0,0.0
DT0201404,1.0,2.0,2,1,2,1,3,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0
DT1000097,1.0,2.0,2,1,1,3,2,0,1,1,0,0,1,1,0,0,1,0,0,0.0,0.0
DT0800516,2.0,2.0,1,1,1,3,2,0,1,1,1,0,1,1,1,0,1,1,0,0.0,0.0
DT0601245,2.0,2.0,1,1,1,3,2,0,1,1,0,0,1,1,0,0,1,0,0,0.0,0.0
DT1200559,2.0,2.0,2,1,1,3,2,0,0,1,0,0,1,1,0,0,1,1,0,0.0,0.0
DT0800520,2.0,2.0,2,1,1,3,1,0,0,1,1,0,0,1,1,0,0,1,0,0.0,0.0
DT1201718,2.0,2.0,2,1,1,3,2,0,0,1,0,0,1,1,0,0,1,1,0,0.0,0.0
DT0700381,2.0,2.0,1,1,1,3,1,0,0,1,0,0,1,1,0,0,1,1,0,0.0,0.0
DT0800664,2.0,2.0,2,1,1,3,2,0,1,1,1,1,1,1,1,1,1,1,0,0.0,0.0
DT1201322,2.0,2.0,2,1,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DT0600986,2.0,2.0,2,1,1,3,2,0,0,1,0,1,1,1,0,1,1,0,0,0.0,0.0
DT0100567,1.0,1.0,2,1,1,1,4,1,2,0,0,0,0,0,0,0,0,1,1,0.0,0.0
DT1100248,1.0,2.0,2,1,1,1,3,1,2,1,1,0,0,1,2,0,0,1,1,0.0,0.0
DT0800353,2.0,2.0,1,1,1,3,1,0,0,1,0,1,1,1,0,1,1,1,0,0.0,0.0
DT0600020,2.0,2.0,2,1,1,3,2,1,0,1,0,1,1,1,0,1,1,1,0,0.0,0.0
DT1300988,2.0,2.0,2,1,1,3,2,0,0,1,0,1,1,1,0,1,1,1,0,0.0,0.0
DT1000169,2.0,2.0,2,1,1,3,2,0,0,1,1,1,1,1,1,1,1,1,0,0.0,0.0
DT0900617,1.0,2.0,2,1,1,1,3,1,1,1,1,0,0,1,1,0,0,1,1,0.0,1.0
DT0500123,2.0,2.0,2,1,1,3,2,0,0,1,1,0,0,1,1,0,0,0,0,0.0,0.0
DT0400967,2.0,2.0,2,1,1,3,2,0,0,1,0,0,1,1,0,0,1,1,0,0.0,0.0
DT0800538,2.0,2.0,1,1,1,3,2,0,0,1,0,0,1,1,0,0,1,1,0,0.0,0.0
DT1000393,1.0,2.0,2,1,1,3,2,0,0,1,0,1,1,1,0,1,1,1,0,0.0,0.0
DT0200632,1.0,2.0,2,1,1,1,3,0,0,0,0,1,1,0,0,1,1,1,1,0.0,0.0
DT1200939,2.0,2.0,1,1,1,3,2,0,0,1,0,1,1,1,0,1,1,1,0,0.0,0.0
DT0800544,2.0,2.0,1,1,1,3,2,0,0,1,1,1,1,1,2,1,1,1,0,0.0,0.0
DT0300466,1.0,2.0,2,1,1,3,2,0,0,1,0,0,1,1,0,0,1,1,0,0.0,0.0
DT0601166,1.0,2.0,2,1,1,1,2,0,1,1,0,1,0,1,0,1,0,0,0,0.0,0.0
DT0700526,2.0,2.0,2,1,1,4,2,0,0,1,0,1,0,1,0,1,0,0,0,0.0,0.0
DT0800897,2.0,2.0,2,1,1,3,2,0,1,1,1,1,1,1,1,1,1,1,0,0.0,0.0
dt0801386,2.0,2.0,2,1,1,3,2,0,1,1,1,1,1,1,1,1,1,1,0,0.0,0.0
DT1201653,2.0,2.0,2,1,1,1,2,0,3,1,0,0,0,1,0,0,0,1,0,0.0,0.0
DT0900163,1.0,1.0,2,1,3,1,3,1,2,0,0,0,0,0,0,0,0,1,1,0.0,0.0
DT1200510,2.0,2.0,2,1,1,4,2,0,0,1,0,0,1,1,0,0,1,1,0,0.0,0.0
DT0101937,1.0,2.0,2,1,2,1,3,0,1,0,0,1,0,0,0,1,0,0,0,0.0,0.0
DT1300079,2.0,2.0,1,1,1,3,3,1,1,1,1,0,1,1,2,0,1,0,0,0.0,0.0
DT1200531,2.0,2.0,1,1,1,3,2,0,0,1,1,1,1,1,2,1,1,1,0,0.0,0.0
DT1300113,2.0,2.0,2,1,1,3,2,0,0,1,0,0,1,1,0,0,1,0,0,0.0,0.0
DT1200194,2.0,2.0,1,1,1,3,2,0,0,1,1,1,1,1,1,1,1,1,0,0.0,0.0
DT1100121,1.0,2.0,2,1,1,1,2,0,1,1,1,0,0,1,1,0,0,0,0,0.0,0.0
DT1101192,1.0,2.0,2,1,1,1,3,1,1,0,0,0,0,0,0,0,0,1,1,0.0,0.0
DT1201601,2.0,2.0,1,1,1,1,2,0,0,1,1,0,0,1,1,0,0,0,0,0.0,0.0
DT0200791,1.0,2.0,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0
DT0800563,2.0,2.0,1,1,1,3,2,0,0,1,0,0,1,1,0,0,1,1,0,0.0,0.0
DT1200097,2.0,2.0,1,1,1,3,2,1,0,1,0,0,1,1,0,0,1,0,0,0.0,0.0
DT0800565,2.0,2.0,1,1,1,3,2,0,1,1,1,0,1,1,1,0,1,0,0,0.0,0.0
DT0800566,2.0,2.0,1,1,1,3,2,0,0,1,1,0,1,1,1,0,1,1,0,0.0,0.0
DT0800568,2.0,2.0,2,1,1,3,1,0,0,1,1,0,1,1,1,0,1,1,0,0.0,0.0
DT0800569,2.0,2.0,1,1,1,3,2,0,0,1,0,0,1,1,0,0,1,1,0,0.0,0.0
DT0200203,1.0,2.0,2,1,1,1,3,1,3,0,0,0,0,0,0,0,0,1,1,0.0,0.0
DT1300566,2.0,2.0,1,1,1,3,2,1,0,1,1,0,1,1,1,0,1,1,0,0.0,0.0
DT0800573,2.0,2.0,1,1,1,3,1,0,0,1,0,0,1,1,0,0,1,1,0,0.0,0.0
DT1202158,2.0,2.0,2,1,1,3,2,0,0,1,1,0,1,1,1,0,1,1,0,0.0,0.0
DT1100103,1.0,2.0,2,1,2,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0
