hhid,longitude,latitude,altitude,kebele
DT1301562,37.87093,12.97442,2,DT13
DT1301557,37.8864,12.93405,2,DT13
DT1301547,37.88641,12.98617,2,DT13
DT1301544,37.99801,12.99192,2,DT13
DT1301543,37.896229999999996,12.99023,2,DT13
DT1301525,37.89416,12.93998,2,DT13
DT1301515,37.88969,12.9902,2,DT13
DT1301511,37.87918,12.9734,2,DT13
DT1301474,37.89547,12.99484,2,DT13
DT1301473,37.89606,12.99478,2,DT13
DT1301472,37.89606,12.994819999999999,2,DT13
DT1301471,37.89607,12.9948,2,DT13
DT1301470,37.89539,12.992,2,DT13
DT1301460,37.693259999999995,13.05418,0,DT13
DT1301458,37.8779,12.95969,2,DT13
DT1301412,37.88836,12.98912,2,DT13
DT1301411,37.67603,12.95523,0,DT13
DT1301408,37.8864,12.986130000000001,2,DT13
DT1301477,37.87984,12.98968,2,DT13
DT1301372,37.89221,12.9711,2,DT13
DT1301370,37.88385,12.960519999999999,0,DT13
DT1301357,37.88649,12.96064,2,DT13
DT1301352,37.88682,12.96145,2,DT13
DT1202239,37.96158,12.94875,1,DT12
DT1301339,37.857459999999996,12.93938,1,DT13
DT1301328,37.88684,12.9348,2,DT13
DT1301325,37.889309999999995,12.93587,2,DT13
DT1301311,37.88499,12.935889999999999,2,DT13
DT1301309,37.88622,12.95279,2,DT13
DT1301301,37.89997,12.93259,1,DT13
DT1301287,37.88474,12.997630000000001,2,DT13
DT1301476,37.87826,12.98915,2,DT13
DT1301379,37.87823,12.98925,2,DT13
DT1301286,37.88411,12.98921,2,DT13
DT1301285,37.88937,13.00378,2,DT13
DT1301284,37.866440000000004,13.00022,2,DT13
DT1301283,37.886359999999996,12.999989999999999,2,DT13
DT1301282,37.866440000000004,13.00022,2,DT13
DT1301281,37.88693,12.99933,2,DT13
DT1301280,37.88686,12.99917,2,DT13
DT1301279,37.88729,12.99922,2,DT13
DT1301278,37.88774,12.99922,2,DT13
DT1301277,37.88767,12.999039999999999,2,DT13
DT1301276,37.88739,12.99888,2,DT13
DT1301275,37.887209999999996,12.998460000000001,2,DT13
DT1301274,37.886590000000005,12.99865,2,DT13
DT1301273,37.8867,12.99877,2,DT13
DT1301554,37.8861,12.99837,2,DT13
DT1301272,37.88649,12.9955,2,DT13
DT1301271,37.88467,12.9964,2,DT13
DT1301270,37.88456,13.000169999999999,2,DT13
DT1301269,37.88562,12.99806,2,DT13
DT1301268,37.88562,12.998,2,DT13
DT1301267,37.88527,12.99977,2,DT13
DT1301266,37.88513,12.99757,2,DT13
DT1301265,37.88512,12.997589999999999,2,DT13
DT1301264,37.88644,12.997710000000001,2,DT13
DT1301553,37.886520000000004,12.997639999999999,2,DT13
DT1301263,37.886590000000005,12.99761,2,DT13
DT1301262,37.8862,12.99733,2,DT13
DT1301261,37.88406,12.9925,2,DT13
DT1301260,37.88393,12.992519999999999,2,DT13
DT1301552,37.883379999999995,12.99267,2,DT13
DT1301483,37.88276,12.99198,2,DT13
DT1301259,37.883140000000004,12.99297,2,DT13
DT1301258,37.88272,12.99297,2,DT13
DT1301257,37.88276,12.99302,2,DT13
DT1301256,37.88262,12.99302,2,DT13
DT1301255,37.88239,12.99325,2,DT13
DT1301254,37.88268,12.99267,2,DT13
DT1301253,37.8827,12.99265,2,DT13
DT1301252,37.88268,12.992360000000001,2,DT13
DT1301251,37.88265,12.99231,2,DT13
DT1301250,37.88242,12.99547,2,DT13
DT1301249,37.88243,12.99217,2,DT13
DT1301248,37.88221,12.99178,2,DT13
DT1301247,37.88217,12.99125,2,DT13
DT1301246,37.88221,12.99165,2,DT13
DT1301245,37.88213,12.99165,2,DT13
DT1301244,37.88175,12.99156,2,DT13
DT1301243,37.88199,12.99135,2,DT13
DT1301242,37.8817,12.99104,2,DT13
DT1301241,37.8817,12.99104,2,DT13
DT1301240,37.88166,12.99094,2,DT13
DT1301239,37.8816,12.990789999999999,2,DT13
DT1301238,37.8816,12.99078,2,DT13
DT1301237,37.88134,12.99081,2,DT13
DT1301236,37.88128,12.9906,2,DT13
DT1301235,37.88097,12.99054,2,DT13
DT1301234,37.880390000000006,12.99036,2,DT13
DT1301233,37.88021,12.990260000000001,2,DT13
DT1301232,37.88005,12.98997,2,DT13
DT1301231,37.87995,12.9899,2,DT13
DT1301230,37.87878,12.98976,2,DT13
DT1301229,37.87948,12.98949,2,DT13
DT1301228,37.87928,12.98935,2,DT13
DT0901046,37.76605,12.98628,2,DT09
DT1301227,37.87838,12.989139999999999,2,DT13
DT1301404,37.8853,12.98483,2,DT13
DT1301226,37.878809999999994,12.989189999999999,2,DT13
DT1301225,37.87831,12.98922,2,DT13
DT1301224,37.88883,12.991810000000001,2,DT13
DT1301223,37.88588,12.99183,2,DT13
DT1301222,37.885940000000005,12.99167,2,DT13
DT1301221,37.88601,12.9916,2,DT13
DT1301220,37.88601,12.99115,2,DT13
DT1301219,37.88731,12.99117,2,DT13
DT1301218,37.88745,12.991439999999999,2,DT13
