hhid,hh_members,sex,relation,hh_education,main_occupation,marital_status,residence,age,longitude,latitude,altitude,kebele,Q401,Q406,Q301,Q302,Q304,Q306,Q307,Q308m,Qsou_inform,Q3098,Q3099,Q30910,Q30911,Q3098n,Q3099n,Q30910n,Q30911n,Q30912n,Q30913n,Q30914n,Q30915n,Q501,Q503,Q504,Q505,Q506,Q507,Q508,Q509,Q510,Q511,Q512,Q513,Q514,Q515,Q516,Q517,Q518,Q519,Q520,Q521,Q522,Q523,Q5231,Q5232,Q5233,Q5234,Q524,Q525,Q5261,Q5262,Q5263,Q5264
DT0100002,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,37.75431,12.97152,2.0,DT01,1.0,2.0,2.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3,2.0,4,1,3.0,1,2.0,1,3.0,1,1.0,1,3.0,2,0.0,2,0.0,2,0.0,2,0.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,1,2,2,2
DT0100005,1.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,37.75393,12.97195,2.0,DT01,1.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,2.0,2,1,3.0,1,3.0,2,0.0,1,2.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,2,2,2,2
DT0100006,0.0,1.0,1.0,3.0,4.0,1.0,0.0,1.0,37.75296,12.97274,2.0,DT01,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0.0,2,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,2,2,2,2
DT0100007,0.0,1.0,1.0,3.0,4.0,1.0,0.0,1.0,37.75296,12.97276,2.0,DT01,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,0.0,2,1,1.0,1,1.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,1,2,2,2
DT0100011,0.0,1.0,1.0,3.0,2.0,2.0,0.0,0.0,37.75465,12.97211,2.0,DT01,1.0,2.0,2.0,1.0,1.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2,2.0,2,1,2.0,1,2.0,1,2.0,2,0.0,1,1.0,2,0.0,2,0.0,2,0.0,2,0.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1,2,2,2
DT0100012,0.0,1.0,1.0,4.0,4.0,1.0,0.0,0.0,37.75434,12.97306,2.0,DT01,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,0.0,2,1,1.0,1,2.0,1,2.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,1,2,2,2
DT0100014,1.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,37.75439,12.97243,2.0,DT01,1.0,2.0,2.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2,1.0,2,1,3.0,1,1.0,1,3.0,1,2.0,2,0.0,1,1.0,2,0.0,2,0.0,2,0.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,2,2,2,2
DT0100015,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,37.75414,12.97294,2.0,DT01,1.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,2,1,2.0,1,2.0,1,2.0,1,2.0,1,3.0,1,2.0,2,0.0,2,0.0,2,0.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,2,2,2,2
DT0100016,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,37.75378,12.97254,2.0,DT01,1.0,2.0,2.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2,1.0,2,1,2.0,1,2.0,1,2.0,2,0.0,1,2.0,2,0.0,1,1.0,1,1.0,2,0.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2,2,2,2
DT0100018,0.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,37.75433,12.97283,2.0,DT01,1.0,2.0,2.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3,1,2.0,1,2.0,1,2.0,1,2.0,1,2.0,1,2.0,2,0.0,2,0.0,2,0.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0,1,2,2,2
DT0100020,0.0,0.0,1.0,0.0,3.0,3.0,0.0,1.0,37.75449,12.97282,2.0,DT01,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,2,1,3.0,1,3.0,1,3.0,2,0.0,1,3.0,1,3.0,2,0.0,1,1.0,2,0.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,1,2,2,2
DT0100021,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,37.75493,12.97289,2.0,DT01,1.0,2.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1,2.0,1,1,2.0,1,2.0,1,2.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,2,2,2,2
DT0100022,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,37.75488,12.97294,2.0,DT01,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2.0,2,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,1,2,2,2
DT0100024,0.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,37.75441,12.97297,2.0,DT01,1.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,2,1,3.0,1,1.0,1,3.0,2,0.0,1,1.0,1,1.0,2,0.0,2,0.0,2,0.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,2,2,2,2
DT0100025,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,37.75399,12.97292,2.0,DT01,1.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,2,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,2,2,2,2
DT0100027,0.0,0.0,1.0,0.0,2.0,4.0,0.0,2.0,37.75389000000001,12.9734,2.0,DT01,1.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,2.0,2,1,3.0,1,3.0,1,3.0,1,2.0,1,2.0,1,2.0,1,1.0,1,2.0,2,0.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,2,2,2,2
DT0100028,0.0,0.0,1.0,0.0,2.0,3.0,0.0,1.0,37.7543,12.9734,2.0,DT01,1.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2,2.0,1,1,3.0,1,1.0,1,1.0,2,0.0,1,1.0,1,1.0,2,0.0,2,0.0,2,0.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,1,2,2,2
