hhid,Q501,Q502,Q503,Q5041,Q5042,Q5043,Q5044,Q5045,Q5045s,Q505,Q506,Q507,Q508,Q509,Q510,Q511,Q512,Q513,Q514,Q515,Q516,Q517,Q518,Q519,Q520,Q521,Q522,Q523,Q5231,Q5232,Q5233,Q5234,Q5235,Q5236,Q5236s,Q524,Q525,Q5261,Q5262,Q5263,Q5264,Q5265,Q5266,Q5266s,Q527,Q528,Q529,Q530,Q531
DT1200132,1,1,1,2,1,2,2,2,,1,3,1,1,1,2,2,,1,3,1,2,1,1,1,1,1,1,2,2,1,2,2,,2,,1,3,1,2,2,2,2,2,,1,60,0,2,
DT1000030,0.2,0.2,2,1,2,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,2,2,2,,2,,1,3,1,2,2,2,2,2,,1,20,0,2,
DT1300033,5,3,1,1,2,2,2,2,,1,2,1,2,1,2,1,2,2,,2,,2,,2,,2,,2,2,1,2,2,,2,,1,3,2,2,1,2,2,2,,1,90,2,2,
DT0401151,5,5,2,1,2,2,2,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,2,2,,2,,2,,1,2,2,2,2,2,,2,,,2,
DT1200073,2.3,2.3,1,1,2,2,2,2,,1,1,1,1,1,2,2,,2,,2,,2,,2,,2,,2,2,2,2,2,,2,,2,,1,2,2,2,2,2,,2,,,2,
DT0800375,7,5,1,1,2,2,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,2,2,,2,,1,3,1,2,2,2,2,2,,2,,,2,
DT1100156,0,,,2,1,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,1,2,2,2,,2,,2,,1,2,2,2,2,2,,1,30,0,2,
DT0800378,2,2,1,1,2,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,2,2,,2,,1,3,1,2,2,2,2,2,,2,,,2,
DT0801739,0.04,0.02,1,1,2,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,2,2,,2,,1,2,1,2,2,2,2,2,,2,,,2,
DT0800380,4,4,1,1,2,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,2,2,,2,,1,3,1,2,2,2,2,2,,1,15,0,2,
DT1101088,1,1,1,1,2,2,2,2,,1,2,1,2,1,3,1,3,1,2,1,2,1,3,1,2,1,1,2,1,2,2,2,,2,,2,,1,2,2,2,2,2,,2,,,2,
DT0401077,4,4,2,1,2,2,2,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,2,2,,2,,1,3,1,2,2,2,2,2,,2,,,2,
DT1201018,1,1,1,1,2,2,1,2,,1,3,1,2,1,2,1,2,1,1,1,1,2,,2,,2,,2,1,2,2,2,,2,,2,,1,2,2,2,2,2,,2,,,2,
DT0100706,0,,,2,1,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,2,2,,2,,2,,1,2,2,2,2,2,,1,3,0,2,
DT0400535,3,0,3,1,1,2,2,2,,1,2,2,,1,3,2,,2,,2,,2,,2,,2,,1,2,2,2,2,,2,,2,,1,2,2,2,2,2,,2,,,2,
