,hhid,longitude,latitude,altitude,kebele
0,DT1301562,37.87093,12.97442,2505,DT13
1,DT1301557,37.8864,12.93405,2506,DT13
2,DT1301547,37.88641,12.98617,2624,DT13
3,DT1301544,37.99801,12.99192,2647,DT13
4,DT1301543,37.89623,12.99023,2629,DT13
5,DT1301525,37.89416,12.93998,2389,DT13
6,DT1301515,37.88969,12.9902,2619,DT13
7,DT1301511,37.87918,12.9734,2573,DT13
8,DT1301474,37.89547,12.99484,2652,DT13
9,DT1301473,37.89606,12.99478,2633,DT13
10,DT1301472,37.89606,12.99482,2635,DT13
11,DT1301471,37.89607,12.9948,2638,DT13
12,DT1301470,37.89539,12.992,2660,DT13
13,DT1301460,37.69326,13.05418,1493,DT13
14,DT1301458,37.8779,12.95969,2598,DT13
15,DT1301412,37.88836,12.98912,2632,DT13
16,DT1301411,37.67603,12.95523,1488,DT13
17,DT1301408,37.8864,12.98613,2632,DT13
18,DT1301477,37.87984,12.98968,2591,DT13
19,DT1301372,37.89221,12.9711,2492,DT13
20,DT1301370,37.88385,12.96052,1639,DT13
21,DT1301357,37.88649,12.96064,2537,DT13
22,DT1301352,37.88682,12.96145,2547,DT13
23,DT1202239,37.96158,12.94875,2023,DT12
24,DT1301339,37.85746,12.93938,2024,DT13
25,DT1301328,37.88684,12.9348,2403,DT13
26,DT1301325,37.88931,12.93587,2400,DT13
27,DT1301311,37.88499,12.93589,2408,DT13
28,DT1301309,37.88622,12.95279,2505,DT13
29,DT1301301,37.89997,12.93259,2362,DT13
30,DT1301287,37.88474,12.99763,2604,DT13
31,DT1301476,37.87826,12.98915,2589,DT13
32,DT1301379,37.87823,12.98925,2591,DT13
33,DT1301286,37.88411,12.98921,2595,DT13
34,DT1301285,37.88937,13.00378,2615,DT13
35,DT1301284,37.86644,13.00022,2598,DT13
36,DT1301283,37.88636,12.99999,2597,DT13
37,DT1301282,37.86644,13.00022,2598,DT13
38,DT1301281,37.88693,12.99933,2603,DT13
39,DT1301280,37.88686,12.99917,2605,DT13
40,DT1301279,37.88729,12.99922,2609,DT13
41,DT1301278,37.88774,12.99922,2615,DT13
42,DT1301277,37.88767,12.99904,2612,DT13
43,DT1301276,37.88739,12.99888,2609,DT13
44,DT1301275,37.88721,12.99846,2608,DT13
45,DT1301274,37.88659,12.99865,2606,DT13
46,DT1301273,37.8867,12.99877,2601,DT13
47,DT1301554,37.8861,12.99837,2606,DT13
48,DT1301272,37.88649,12.9955,2600,DT13
49,DT1301271,37.88467,12.9964,2588,DT13
50,DT1301270,37.88456,13.00017,2582,DT13
51,DT1301269,37.88562,12.99806,2598,DT13
52,DT1301268,37.88562,12.998,2597,DT13
53,DT1301267,37.88527,12.99977,2595,DT13
54,DT1301266,37.88513,12.99757,2601,DT13
55,DT1301265,37.88512,12.99759,2601,DT13
56,DT1301264,37.88644,12.99771,2600,DT13
57,DT1301553,37.88652,12.99764,2610,DT13
58,DT1301263,37.88659,12.99761,2604,DT13
59,DT1301262,37.8862,12.99733,2596,DT13
60,DT1301261,37.88406,12.9925,2590,DT13
61,DT1301260,37.88393,12.99252,2594,DT13
62,DT1301552,37.88338,12.99267,2606,DT13
63,DT1301483,37.88276,12.99198,2598,DT13
64,DT1301259,37.88314,12.99297,2598,DT13
65,DT1301258,37.88272,12.99297,2599,DT13
66,DT1301257,37.88276,12.99302,2592,DT13
67,DT1301256,37.88262,12.99302,2592,DT13
68,DT1301255,37.88239,12.99325,2595,DT13
69,DT1301254,37.88268,12.99267,2594,DT13
70,DT1301253,37.8827,12.99265,2594,DT13
71,DT1301252,37.88268,12.99236,2594,DT13
72,DT1301251,37.88265,12.99231,2596,DT13
73,DT1301250,37.88242,12.99547,2595,DT13
74,DT1301249,37.88243,12.99217,2595,DT13
75,DT1301248,37.88221,12.99178,2599,DT13
76,DT1301247,37.88217,12.99125,2695,DT13
77,DT1301246,37.88221,12.99165,2588,DT13
78,DT1301245,37.88213,12.99165,2593,DT13
79,DT1301244,37.88175,12.99156,2592,DT13
80,DT1301243,37.88199,12.99135,2591,DT13
81,DT1301242,37.8817,12.99104,2590,DT13
82,DT1301241,37.8817,12.99104,2588,DT13
83,DT1301240,37.88166,12.99094,2587,DT13
84,DT1301239,37.8816,12.99079,2589,DT13
85,DT1301238,37.8816,12.99078,2585,DT13
86,DT1301237,37.88134,12.99081,2534,DT13
87,DT1301236,37.88128,12.9906,2588,DT13
88,DT1301235,37.88097,12.99054,2583,DT13
89,DT1301234,37.88039,12.99036,2581,DT13
90,DT1301233,37.88021,12.99026,2581,DT13
91,DT1301232,37.88005,12.98997,2580,DT13
92,DT1301231,37.87995,12.9899,2881,DT13
93,DT1301230,37.87878,12.98976,2584,DT13
94,DT1301229,37.87948,12.98949,2580,DT13
95,DT1301228,37.87928,12.98935,2581,DT13
96,DT0901046,37.76605,12.98628,2651,DT09
97,DT1301227,37.87838,12.98914,2574,DT13
98,DT1301404,37.8853,12.98483,2623,DT13
99,DT1301226,37.87881,12.98919,2576,DT13
100,DT1301225,37.87831,12.98922,2577,DT13
101,DT1301224,37.88883,12.99181,2590,DT13
102,DT1301223,37.88588,12.99183,2590,DT13
103,DT1301222,37.88594,12.99167,2594,DT13
104,DT1301221,37.88601,12.9916,2591,DT13
105,DT1301220,37.88601,12.99115,2603,DT13
106,DT1301219,37.88731,12.99117,2597,DT13
107,DT1301218,37.88745,12.99144,2603,DT13
108,DT1301217,37.88786,12.99107,2606,DT13
109,DT1301216,37.88706,12.99066,2602,DT13
110,DT1301215,37.86612,12.99116,2594,DT13
111,DT1301214,37.88541,12.99099,2594,DT13
112,DT1101476,37.82576,13.06444,2707,DT11
113,DT1301213,37.8852,12.99063,2591,DT13
114,DT1301212,37.88499,12.99052,2592,DT13
115,DT1301211,37.88485,12.99023,2598,DT13
116,DT1301210,37.88492,12.98962,2593,DT13
117,DT1301209,37.88459,12.98997,2589,DT13
118,DT1301208,37.88463,12.98994,2594,DT13
119,DT1301207,37.88444,12.98996,2592,DT13
120,DT1301206,37.8844,12.9895,2591,DT13
121,DT1301205,37.88427,12.98941,2591,DT13
122,DT1301204,37.88405,12.98911,2591,DT13
123,DT1301203,37.88904,12.98904,2588,DT13
124,DT1301202,37.85391,12.98878,2593,DT13
125,DT1301201,37.88391,12.98878,2593,DT13
